entry,video,user_name,age,gender_id,country,movementyears,numvideos,whichvideos,overall,reason,ave_valence,stdev_valence,valence,ave_arousal,stdev_arousal,arousal,segment_id,start_time,end_time,laban_effort,emotion,body,cluster
42,1,3,29,M,USA,10,6,1 10 12 11 9 ,"looks like something desired is missing, then that its not available",moving hands expressively,-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,109,20.88,20.88,Slash,confused,hands,8
42,1,3,29,M,USA,10,6,1 10 12 11 9 ,"looks like something desired is missing, then that its not available",moving hands expressively,-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,110,24.75,24.75,Float,dissapointed,hands,5
58,1,4,29,F,USA,26,4,1 10 11 , and helplessness--basically a tantrum,they seem to have quick and flusatered movements that quickly change from one state to another,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,162,0,2.61,Wring,anxiety,arms hands,4
58,1,4,29,F,USA,26,4,1 10 11 , and helplessness--basically a tantrum,they seem to have quick and flusatered movements that quickly change from one state to another,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,163,3.83,3.83,Float,beseechment,arms hands head,4
58,1,4,29,F,USA,26,4,1 10 11 , and helplessness--basically a tantrum,they seem to have quick and flusatered movements that quickly change from one state to another,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,164,12.52,12.52,Flick, ,arms hands,2
58,1,4,29,F,USA,26,4,1 10 11 , and helplessness--basically a tantrum,they seem to have quick and flusatered movements that quickly change from one state to another,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,165,16.98,16.98,Press,bewilderment,arms butt hands,2
58,1,4,29,F,USA,26,4,1 10 11 , and helplessness--basically a tantrum,they seem to have quick and flusatered movements that quickly change from one state to another,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,166,17,21,Wring,anxiety,arms hands,8
58,1,4,29,F,USA,26,4,1 10 11 , and helplessness--basically a tantrum,they seem to have quick and flusatered movements that quickly change from one state to another,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,167,22,27,Glide,despair,arms hands,5
58,1,4,29,F,USA,26,4,1 10 11 , and helplessness--basically a tantrum,they seem to have quick and flusatered movements that quickly change from one state to another,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,168,27,29,Press,defiance,arms hands,6
61,1,5,29,F,USA,26,9,3 12 10 4 9 11 1 2 ,"persuasion,","he moves a lot at times so he is somewhat excited. some movements are aggressive and negative, but others are not.",-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,176,0.74,1.4,Punch,frustrated,arms hands,4
61,1,5,29,F,USA,26,9,3 12 10 4 9 11 1 2 ,"persuasion,","he moves a lot at times so he is somewhat excited. some movements are aggressive and negative, but others are not.",-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,177,3.61,6.69,Float,whimsical,hips legs torso,3
61,1,5,29,F,USA,26,9,3 12 10 4 9 11 1 2 ,"persuasion,","he moves a lot at times so he is somewhat excited. some movements are aggressive and negative, but others are not.",-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,178,8.23,9.29,Slash,fed up,arms hands,1
61,1,5,29,F,USA,26,9,3 12 10 4 9 11 1 2 ,"persuasion,","he moves a lot at times so he is somewhat excited. some movements are aggressive and negative, but others are not.",-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,179,17.85,20.65,Punch,frustrated,arms hands head,8
61,1,5,29,F,USA,26,9,3 12 10 4 9 11 1 2 ,"persuasion,","he moves a lot at times so he is somewhat excited. some movements are aggressive and negative, but others are not.",-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,180,28.17,29.5,Dab,confident,arms hands torso,6
61,1,5,29,F,USA,26,9,3 12 10 4 9 11 1 2 ,"persuasion,","he moves a lot at times so he is somewhat excited. some movements are aggressive and negative, but others are not.",-2.101265823,2.133943843,-2,5.696202532,1.371452817,5,181,2.13,3.14,Flick,beckoning,arms hands,4
76,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,262,0,2.36,Flick,curious questioning,hands,4
76,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,263,2.76,2.76,Press,excitement,hands,4
76,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,264,5,5,Slash,anger,hands,3
76,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,265,8.23,8.23,Flick, ,hands,1
76,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,266,9.54,9.54,Glide,resignation,feet hands,1
100,1,7,29,M,USA,1,4,1 9 10 , with the fact that he cannot find something. seems to also be going through the process of explaining this.,he seems to be looking at whoever is filming the video. i get the feeling that he's looking for help. i also do the hand outstretched thing when i'm looking for something regardless of there's another person around.,-2.101265823,2.133943843,-2,5.696202532,1.371452817,6,360,2.62,9.14,Wring,speaking ,arms head torso,3
100,1,7,29,M,USA,1,4,1 9 10 , with the fact that he cannot find something. seems to also be going through the process of explaining this.,he seems to be looking at whoever is filming the video. i get the feeling that he's looking for help. i also do the hand outstretched thing when i'm looking for something regardless of there's another person around.,-2.101265823,2.133943843,-2,5.696202532,1.371452817,6,361,17.48,25.95,Wring,confusion,arms head,5
109,1,8,30,F,USA,25,2,1,"pleading, resistance, aggression, ",repetition of gestures showing disagreement towards the person behind the camera,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,384,0,4.42,Dab,pleading ,hands,4
109,1,8,30,F,USA,25,2,1,"pleading, resistance, aggression, ",repetition of gestures showing disagreement towards the person behind the camera,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,385,4.82,8.56,Float,questioning ,arms hands head,3
109,1,8,30,F,USA,25,2,1,"pleading, resistance, aggression, ",repetition of gestures showing disagreement towards the person behind the camera,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,386,8.96,12.85,Punch,agression,arms hands,1
109,1,8,30,F,USA,25,2,1,"pleading, resistance, aggression, ",repetition of gestures showing disagreement towards the person behind the camera,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,387,13.25,15.86,Wring,distracted,fingers hip,2
109,1,8,30,F,USA,25,2,1,"pleading, resistance, aggression, ",repetition of gestures showing disagreement towards the person behind the camera,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,388,16.93,20.94,Dab,pleading,hands,8
109,1,8,30,F,USA,25,2,1,"pleading, resistance, aggression, ",repetition of gestures showing disagreement towards the person behind the camera,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,389,21.34,26.23,Glide,searching,feet,5
109,1,8,30,F,USA,25,2,1,"pleading, resistance, aggression, ",repetition of gestures showing disagreement towards the person behind the camera,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,390,27.3,29.5,Press,resolved,hands hips,6
31,1,9,23,M,USA ,0,,,confusion and ,tense and quick movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,8,67,2.86,4.81,Float,confusion,arms fingers hands,3
31,1,9,23,M,USA ,0,,,confusion and ,tense and quick movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,8,68,8,10,Slash, ,arms,1
39,1,10,24,M,USA,0,,,"desire, dismissal, confusion",speed and severity of movement,-2.101265823,2.133943843,0,5.696202532,1.371452817,6,83,5.27,5.39,Float,yearning,arms head shoulders,3
39,1,10,24,M,USA,0,,,"desire, dismissal, confusion",speed and severity of movement,-2.101265823,2.133943843,0,5.696202532,1.371452817,6,84,9.13,9.34,Slash,dismissive,arms hands,1
39,1,10,24,M,USA,0,,,"desire, dismissal, confusion",speed and severity of movement,-2.101265823,2.133943843,0,5.696202532,1.371452817,6,85,18.5,18.73,Wring,constricted,arms hands,8
48,1,12,29,M,USA,10,,,,"i assume the levels in the video are elevated due to the quick and frantic movement patterns in the arms, as well as the inability to stand still or keep the hands calm, whether they be on the hip, grasping nearby objects, or waving furiousaly.",-2.101265823,2.133943843,-4,5.696202532,1.371452817,8,118,0.74,2.54,Flick,frustrated,arms,4
48,1,12,29,M,USA,10,,,,"i assume the levels in the video are elevated due to the quick and frantic movement patterns in the arms, as well as the inability to stand still or keep the hands calm, whether they be on the hip, grasping nearby objects, or waving furiousaly.",-2.101265823,2.133943843,-4,5.696202532,1.371452817,8,119,8.83,9.5,Float,curious,arms feet head,1
48,1,12,29,M,USA,10,,,,"i assume the levels in the video are elevated due to the quick and frantic movement patterns in the arms, as well as the inability to stand still or keep the hands calm, whether they be on the hip, grasping nearby objects, or waving furiousaly.",-2.101265823,2.133943843,-4,5.696202532,1.371452817,8,120,17.63,20.79,Slash,frustrated,arms hands,8
48,1,12,29,M,USA,10,,,,"i assume the levels in the video are elevated due to the quick and frantic movement patterns in the arms, as well as the inability to stand still or keep the hands calm, whether they be on the hip, grasping nearby objects, or waving furiousaly.",-2.101265823,2.133943843,-4,5.696202532,1.371452817,8,121,4.48,4.48,Flick,overwhelmed,arms head,3
48,1,12,29,M,USA,10,,,,"i assume the levels in the video are elevated due to the quick and frantic movement patterns in the arms, as well as the inability to stand still or keep the hands calm, whether they be on the hip, grasping nearby objects, or waving furiousaly.",-2.101265823,2.133943843,-4,5.696202532,1.371452817,8,122,27.39,27.39,Glide,curious,arms,6
58,1,11,56,F,USA,0,,,anger,body movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,170,3,7,Float,bewilderment,arms,3
58,1,11,56,F,USA,0,,,anger,body movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,171,8,10,Slash, ,arms,1
58,1,11,56,F,USA,0,,,anger,body movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,172,18,22,Flick,anger,arms,8
58,1,11,56,F,USA,0,,,anger,body movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,173,21,26,Glide,agitation,arms legs,5
69,1,13,35,F ,Korea,25,,,yes,lots of hands gesture. ,-2.101265823,2.133943843,-4,5.696202532,1.371452817,3,211,0,12,Float,curious ,hands,3
69,1,13,35,F ,Korea,25,,,yes,lots of hands gesture. ,-2.101265823,2.133943843,-4,5.696202532,1.371452817,3,212,12,13.2,Dab,anxious ,fingers,2
69,1,13,35,F ,Korea,25,,,yes,lots of hands gesture. ,-2.101265823,2.133943843,-4,5.696202532,1.371452817,3,213,17,22,Slash,impatience,feet hands,8
69,1,13,35,F ,Korea,25,,,yes,lots of hands gesture. ,-2.101265823,2.133943843,-4,5.696202532,1.371452817,3,214,22,28,Punch,abandonment ,hands,5
80,1,14,29,M,USA,0,,,impatience and anxiousness ,the intensity of the movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,276,0.89,2.14,Dab,impatience,hands,4
80,1,14,29,M,USA,0,,,impatience and anxiousness ,the intensity of the movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,277,2.83,6.12,Float,wonder,arms hands,3
80,1,14,29,M,USA,0,,,impatience and anxiousness ,the intensity of the movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,278,7.56,9.17,Flick,impatience ,arms hands,1
80,1,14,29,M,USA,0,,,impatience and anxiousness ,the intensity of the movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,279,13.44,16.52,Press,nervousness,hands hips,2
80,1,14,29,M,USA,0,,,impatience and anxiousness ,the intensity of the movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,280,17.88,20.92,Wring,impatience,hands,8
80,1,14,29,M,USA,0,,,impatience and anxiousness ,the intensity of the movements,-2.101265823,2.133943843,-3,5.696202532,1.371452817,5,281,28.41,29.44,Press,anxious ,hands hips,6
103,1,15,28,F,USA,25,,,,body language,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,355,4,9,Float,confusion,arms,3
103,1,15,28,F,USA,25,,,,body language,-2.101265823,2.133943843,-3,5.696202532,1.371452817,7,356,17,20,Flick, ,arms,8
112,1,16,20,F,USA,0,,,", confusion","abrupt, repeated movements, looking/moving around",-2.101265823,2.133943843,-2,5.696202532,1.371452817,6,395,1,3.41,Flick, ,arms hands,4
112,1,16,20,F,USA,0,,,", confusion","abrupt, repeated movements, looking/moving around",-2.101265823,2.133943843,-2,5.696202532,1.371452817,6,396,3.98,7.63,Float,questioning,arms torso,3
112,1,16,20,F,USA,0,,,", confusion","abrupt, repeated movements, looking/moving around",-2.101265823,2.133943843,-2,5.696202532,1.371452817,6,397,8.1,8.83,Slash,anger,arms,1
112,1,16,20,F,USA,0,,,", confusion","abrupt, repeated movements, looking/moving around",-2.101265823,2.133943843,-2,5.696202532,1.371452817,6,398,17.06,20.14,Flick, ,arms hands,8
112,1,16,20,F,USA,0,,,", confusion","abrupt, repeated movements, looking/moving around",-2.101265823,2.133943843,-2,5.696202532,1.371452817,6,399,20.54,21.94,Float,questioning,arms legs torso,8
95,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,188,0,2.36,Flick,curious questioning,hands,4
95,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,189,2.76,2.76,Press,excitement,hands,4
108,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,190,5,5,Slash,anger,hands,3
108,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,191,8.23,8.23,Flick, ,hands,1
108,1,6,55,F,USA,0,6,4 9 11 12 1 ,"curious/questioning, excitement, anger,resignation","quick movements of hands, raising of hands in air.",-2.101265823,2.133943843,3,5.696202532,1.371452817,7,192,9.54,9.54,Glide,resignation,feet hands,1
22,1,17,21,M,USA,0,,,"confusion, anger",their body stance and arm movements,-2.101265823,2.133943843,-5,5.696202532,1.371452817,3,40,2,24,Flick,confusion,hand,7
22,1,17,21,M,USA,0,,,"confusion, anger",their body stance and arm movements,-2.101265823,2.133943843,-5,5.696202532,1.371452817,3,41,25,27,Slash,anger,arms,6
37,2,2,26,M,USA,0,5,1 9 10 2 ,sad/,movements seem uncontrolled and sporadic. seems to struggle for breath at end of video,-1.363636364,2.058345566,-4,4.340909091,3.212933035,7,95,21.44,21.97,Glide,crying ,arms,4
37,2,2,26,M,USA,0,5,1 9 10 2 ,sad/,movements seem uncontrolled and sporadic. seems to struggle for breath at end of video,-1.318181818,2.020507964,-4,4.340909091,3.212933035,7,96,24.66,24.83,Press,crying,torso,4
51,2,18,31,M,USA,0,4,2 10 11 ,sad or tired?,i dont,-1.318181818,2.020507964,-4,4.340909091,3.212933035,3,126,0,5.31,Wring,not sure,arm head,1
51,2,18,31,M,USA,0,4,2 10 11 ,sad or tired?,i dont,-1.318181818,2.020507964,-2,4.340909091,3.212933035,3,127,5.55,20.31,Press,not sure,arm head other,2
51,2,18,31,M,USA,0,4,2 10 11 ,sad or tired?,i dont,-1.318181818,2.020507964,-2,4.340909091,3.212933035,3,128,20.7,25,Dab,unknown,arm head,4
59,2,19,24,M,France,7,4,2 9 10 ,melow,she jusat wants a cookie. i think,-1.318181818,2.020507964,0,4.340909091,3.212933035,3,169,3.76,4.24,Dab,melow ,arms hands,1
59,2,19,24,M,France,7,4,2 9 10 ,melow,she jusat wants a cookie. i think,-1.318181818,2.020507964,0,4.340909091,3.212933035,3,170,5.36,5.49,Dab,melow,arms hands,1
59,2,19,24,M,France,7,4,2 9 10 ,melow,she jusat wants a cookie. i think,-1.318181818,2.020507964,0,4.340909091,3.212933035,3,171,21.14,21.73,Dab,melow,arms hands,4
78,2,20,32,M,USA,0,5,2 11 12 9 ,resolution,intuitively,-1.318181818,2.020507964,2,4.340909091,3.212933035,4,277,3.31,5.05,Dab,distracted,arm head,1
78,2,20,32,M,USA,0,5,2 11 12 9 ,resolution,intuitively,-1.318181818,2.020507964,2,4.340909091,3.212933035,4,278,5.82,21,Wring,determined,arm head,2
78,2,20,32,M,USA,0,5,2 11 12 9 ,resolution,intuitively,-1.318181818,2.020507964,2,4.340909091,3.212933035,4,279,21.47,23.53,Slash,complete,arm head,4
103,2,21,28,F,USA,0,5,2 11 10 3 ,sadness,"i feel like they are crying but not much movement, so not excited",-1.318181818,2.020507964,-2,4.340909091,3.212933035,3,365,0,25,Slash,sad,arm,2
12,2,22,23,F,China,0,,,sad,the movement of her hand make me think she is crying,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,20,3,21,Glide,sad,hand,2
24,2,23,32,M,USA,0,,,mild sadness,speed of movement,-1.318181818,2.020507964,-1,4.340909091,3.212933035,2,44,0,22,Dab,sad,arms,2
40,2,24,28,F,USA,25,,,happy and sad emotions are beging expressed in this video.,i am not sure.. sorry!,-1.318181818,2.020507964,0,4.340909091,3.212933035,5,86,4,8,Punch,happy,head,1
40,2,24,28,F,USA,25,,,happy and sad emotions are beging expressed in this video.,i am not sure.. sorry!,-1.318181818,2.020507964,0,4.340909091,3.212933035,5,87,12.2,15.48,Dab,sad,arm,3
50,2,25,34,F,USA,30,,,really unsure if they are tired or upset,very slow and small movements,-1.318181818,2.020507964,0,4.340909091,3.212933035,2,129,2.47,4.65,Glide,neutral,arm,1
50,2,25,34,F,USA,30,,,really unsure if they are tired or upset,very slow and small movements,-1.318181818,2.020507964,0,4.340909091,3.212933035,2,130,6.69,6.69,Press,curious,arm head,1
50,2,25,34,F,USA,30,,,really unsure if they are tired or upset,very slow and small movements,-1.318181818,2.020507964,0,4.340909091,3.212933035,2,131,20.63,20.29,Glide,neutral,arm,4
50,2,25,34,F,USA,30,,,really unsure if they are tired or upset,very slow and small movements,-1.318181818,2.020507964,0,4.340909091,3.212933035,2,132,23.46,23.46,Dab,frustration,shoulder,4
60,2,26,59,F,USA,5,,,sadness,strong enough emotion to reach point of crying and having to wipe away tears,-1.318181818,2.020507964,-2,4.340909091,3.212933035,7,178,3.53,3.69,Dab,sad,arms hands head,1
60,2,26,59,F,USA,5,,,sadness,strong enough emotion to reach point of crying and having to wipe away tears,-1.318181818,2.020507964,-2,4.340909091,3.212933035,7,179,23.6,23.6,Dab,sad,arms hands head,4
60,2,26,59,F,USA,5,,,sadness,strong enough emotion to reach point of crying and having to wipe away tears,-1.318181818,2.020507964,-2,4.340909091,3.212933035,7,180,13.84,13.84,Dab,sad,arms feet hands,3
70,2,27,58,F,USA,23,,,"desperation, loss,wonder","intuition, he looks like he is searching for his toy and another person has hidden it.",-1.318181818,2.020507964,-4,4.340909091,3.212933035,10,215,9,10,Press, ,arms hands torso,1
70,2,27,58,F,USA,23,,,"desperation, loss,wonder","intuition, he looks like he is searching for his toy and another person has hidden it.",-1.318181818,2.020507964,-4,4.340909091,3.212933035,10,216,4,7,Glide,wonder,arms hands torso,1
70,2,27,58,F,USA,23,,,"desperation, loss,wonder","intuition, he looks like he is searching for his toy and another person has hidden it.",-1.318181818,2.020507964,-4,4.340909091,3.212933035,10,217,14,20,Dab,urgency alarm,hands,3
83,2,28,24,F,USA,15,,,a child crying and drying her tears,because she kept touching her face and it looked like she was drying her tears,-1.318181818,2.020507964,2,4.340909091,3.212933035,10,287,4.54,4.61,Slash,sad,arm,1
83,2,28,24,F,USA,15,,,a child crying and drying her tears,because she kept touching her face and it looked like she was drying her tears,-1.318181818,2.020507964,2,4.340909091,3.212933035,10,288,3.29,3.29,Dab,sad,arm,1
83,2,28,24,F,USA,15,,,a child crying and drying her tears,because she kept touching her face and it looked like she was drying her tears,-1.318181818,2.020507964,2,4.340909091,3.212933035,10,289,5.55,5.55,Dab,sad,arm,1
83,2,28,24,F,USA,15,,,a child crying and drying her tears,because she kept touching her face and it looked like she was drying her tears,-1.318181818,2.020507964,2,4.340909091,3.212933035,10,290,14.22,14.22,Wring,sad,arm,3
83,2,28,24,F,USA,15,,,a child crying and drying her tears,because she kept touching her face and it looked like she was drying her tears,-1.318181818,2.020507964,2,4.340909091,3.212933035,10,291,20.78,20.78,Glide,calm,arm,4
94,2,29,64,M,USA,0,,,hard to tell with face blurred out but i imagine sadness,i don't,-1.318181818,2.020507964,-3,4.340909091,3.212933035,3,322,0,5,Glide,sad,arm nose,1
94,2,29,64,M,USA,0,,,hard to tell with face blurred out but i imagine sadness,i don't,-1.318181818,2.020507964,-3,4.340909091,3.212933035,3,323,5,9,Dab,sad,hand head,1
94,2,29,64,M,USA,0,,,hard to tell with face blurred out but i imagine sadness,i don't,-1.318181818,2.020507964,-3,4.340909091,3.212933035,3,324,9,21,Slash,sad,arm head,2
106,2,30,27,F ,USA,25,,,this kid is either crying or sick. ,deductive reasoning through body language,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,361,3.44,4.85,Glide,sad (snotty),arm,1
106,2,30,27,F ,USA,25,,,this kid is either crying or sick. ,deductive reasoning through body language,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,362,5.9,11.85,Glide,sad,arm,1
106,2,30,27,F ,USA,25,,,this kid is either crying or sick. ,deductive reasoning through body language,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,363,12.54,20.69,Glide,sad (snotty),arm,3
106,2,30,27,F ,USA,25,,,this kid is either crying or sick. ,deductive reasoning through body language,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,364,21.16,21.97,Glide,sad,arm,4
114,2,31,27,M,USA,0,,,upset,subtle movements but nervousness and playing with hair tells me that they are likely upset,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,404,2.71,4.65,Glide,contemplation ,arm,1
114,2,31,27,M,USA,0,,,upset,subtle movements but nervousness and playing with hair tells me that they are likely upset,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,405,5.16,20.94,Glide,patience,arm,2
114,2,31,27,M,USA,0,,,upset,subtle movements but nervousness and playing with hair tells me that they are likely upset,-1.318181818,2.020507964,-3,4.340909091,3.212933035,1,406,25.06,25.06,Flick,upset,torso,4
71,2,32,21,F,USA,15,4,3 10 11 ,sadness,seems as if the person is touching their eyes - there is a slowness to the glides and a bit of in the slashes. they seem like rubs almost - when you are trying to comfort yourself i feel like you rub. you also rub to remove tears. ,-1.318181818,2.020507964,-2,4.340909091,3.212933035,2,222,3.04,4.76,Glide,relaxed,armsfingers,1
71,2,32,21,F,USA,15,4,3 10 11 ,sadness,seems as if the person is touching their eyes - there is a slowness to the glides and a bit of in the slashes. they seem like rubs almost - when you are trying to comfort yourself i feel like you rub. you also rub to remove tears. ,-1.318181818,2.020507964,-2,4.340909091,3.212933035,2,223,5.16,20.65,Press,sad,armsfingers,2
71,2,32,21,F,USA,15,4,3 10 11 ,sadness,seems as if the person is touching their eyes - there is a slowness to the glides and a bit of in the slashes. they seem like rubs almost - when you are trying to comfort yourself i feel like you rub. you also rub to remove tears. ,-1.318181818,2.020507964,-2,4.340909091,3.212933035,2,224,21,21.69,Slash, ,fingers,4
19,3,33,31,M,USA,5,4,3 9 10 ,joy and surprise,whole body involved with jumping for joy at surprise of new puppy,4.671641791,0.587445928,5,8.582089552,0.987025739,9,47,0.14,1.57,Glide,surprise,hips legs,4
19,3,33,31,M,USA,5,4,3 9 10 ,joy and surprise,whole body involved with jumping for joy at surprise of new puppy,4.671641791,0.587445928,5,8.582089552,0.987025739,9,48,2.9,5.11,Press,curiosity,back head,4
19,3,33,31,M,USA,5,4,3 9 10 ,joy and surprise,whole body involved with jumping for joy at surprise of new puppy,4.671641791,0.587445928,5,8.582089552,0.987025739,9,49,5.8,8.52,Dab,desire,arms hands,1
19,3,33,31,M,USA,5,4,3 9 10 ,joy and surprise,whole body involved with jumping for joy at surprise of new puppy,4.671641791,0.587445928,5,8.582089552,0.987025739,9,50,11.33,13.54,Dab,disbelief,arms hands,5
19,3,33,31,M,USA,5,4,3 9 10 ,joy and surprise,whole body involved with jumping for joy at surprise of new puppy,4.671641791,0.587445928,5,8.582089552,0.987025739,9,51,16.56,20.1,Slash,joy,arms feet legs,3
38,3,34,30,F,USA,22,4,3 11 12 ,"happiness, excitement","he has short outbursts of energy, but calms down to express love.",4.671641791,0.587445928,5,8.582089552,0.987025739,7,97,0.4,19.82,Flick,excitement,arms legs,2
38,3,34,31,F,USA,22,4,3 11 12 ,"happiness, excitement","he has short outbursts of energy, but calms down to express love.",4.671641791,0.587445928,5,8.582089552,0.987025739,7,98,16.8,10.73,Flick,excitement,hands legs,3
